University,Country,City,Category,Overall_Score,Description,Language,Scholarship_Availability,Tuition_Fees_EUR_Per_Year,Website,Fields_of_Study,RANK_2025,QS_Rank_Numeric,Cluster
Université François-Rabelais,France,Tours,Université,,"Université François-Rabelais is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,3570,http://www.univ-tours.fr/,"Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, Engineering, Manufacturing, Construction, Health & Welfare",Not Ranked,9999,3
Institut régional d'administration de Lille,France,Lille,École juridique et administrative,,"Institut régional d'administration de Lille is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,4270,https://www.ira-lille.gouv.fr/,"Business, Administration, Law, Social Sciences, Journalism, Information",Not Ranked,9999,3
IXAD École des avocats de la région Nord-Ouest,France,Lille,École juridique et administrative,,"IXAD École des avocats de la région Nord-Ouest is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,3670,http://www.cfpa-online.com/,"Business, Administration, Law, Social Sciences, Journalism, Information",Not Ranked,9999,3
Institut polytechnique LaSalle Beauvais,France,Beauvais,École d'ingénieurs,,"Institut polytechnique LaSalle Beauvais is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,2970,m,"Engineering, Manufacturing, Construction",Not Ranked,9999,3
Ecole nationale des finances publiques,France,Noisy-le-Grand,École juridique et administrative,,"Ecole nationale des finances publiques is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,3270,https://www.impots.gouv.fr/portail/lecole-nationale-des-finances-publiques-enfip-0,"Business, Administration, Law, Social Sciences, Journalism, Information",Not Ranked,9999,3
Institut catholique de Lille,France,Lille,Établissement privé d'enseignement universitaire,,"Institut catholique de Lille is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,4470,http://www.univ-catholille.fr/?,General programmes (field not identifiable from available data),Not Ranked,9999,3
Université Lille 1 - Sciences technologies,France,Villeneuve-d'Ascq,Université,,"Université Lille 1 - Sciences technologies is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,3670,http://www.univ-lille1.fr/,"Arts & Humanities, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Agriculture, Veterinary, Health & Welfare",Not Ranked,9999,3
Université Lille 2 - Droit et Santé,France,Lille,Université,,"Université Lille 2 - Droit et Santé is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,4470,http://www.univ-lille2.fr/,"Business, Administration, Law, Natural Sciences, Mathematics, Statistics, Engineering, Manufacturing, Construction, Health & Welfare, Services",Not Ranked,9999,3
Université Lille 3 - Charles-de-Gaulle,France,Villeneuve-d'Ascq,Université,,"Université Lille 3 - Charles-de-Gaulle is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,2770,http://www.univ-lille3.fr/,"Arts & Humanities, Social Sciences, Journalism, Information, Health & Welfare, Services",Not Ranked,9999,3
Institut régional d'administration de Metz,France,Metz,École juridique et administrative,,"Institut régional d'administration de Metz is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,3870,http://www.ira-metz.fr/,"Business, Administration, Law, Social Sciences, Journalism, Information",Not Ranked,9999,3
École nationale supérieure d'architecture et de paysage de Lille,France,Villeneuve-d'Ascq,"École supérieure artistique, culturelle ou d'architecture",,"École nationale supérieure d'architecture et de paysage de Lille is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,2970,http://www.lille.archi.fr/,Arts & Humanities,Not Ranked,9999,3
École supérieure d'art et de design de Reims,France,Reims,"École supérieure artistique, culturelle ou d'architecture",,"École supérieure d'art et de design de Reims is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,3470,http://www.esad-reims.fr/,Arts & Humanities,Not Ranked,9999,3
École nationale supérieure d'architecture de Nancy,France,Nancy,"École supérieure artistique, culturelle ou d'architecture",,"École nationale supérieure d'architecture de Nancy is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,4470,http://www.nancy.archi.fr/,Arts & Humanities,Not Ranked,9999,3
École nationale supérieure d'art de Nancy,France,Nancy,"École supérieure artistique, culturelle ou d'architecture",,"École nationale supérieure d'art de Nancy is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,4370,http://www.ensa-nancy.fr/,Arts & Humanities,Not Ranked,9999,3
École militaire interarmes,France,Guer,École juridique et administrative,,"École militaire interarmes is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",French / English,Yes,3570,http://www.st-cyr.terre.defense.gouv.fr/index.php/Les-Ecoles/L-Ecole-Militaire-Interarmes,"Business, Administration, Law, Social Sciences, Journalism, Information",Not Ranked,9999,3
